,url,text
1,https://migri.fi/en/residence-permit,"If you come to Finland from outside the EU for more than 90 days, you must apply for a residence permit."
2,https://migri.fi/en/residence-permit,"If you plan to work, you may need a residence permit even if your stay will be shorter than 90 days."
3,https://migri.fi/en/residence-permit,You need to apply for your residence permit personally.
4,https://migri.fi/en/residence-permit,You cannot for example apply for a residence permit for your spouse or employee.
5,https://migri.fi/en/residence-permit,"If you are a citizen of an EU Member State, Iceland, Liechtenstein, Norway or Switzerland, you do not need a residence permit for Finland but you must register your right of residence in Finland."
6,https://migri.fi/en/residence-permit,"If your first residence permit is going to expire but you want to stay in Finland, apply for an extended permit or a permanent residence permit in good time."
8,https://migri.fi/en/first-residence-permit,"When you apply for your first residence permit in Finland, the right application form for you depends on your reason for coming to Finland:"
9,https://migri.fi/en/first-residence-permit,Residence permit for a victim of human trafficking
10,https://migri.fi/en/first-residence-permit,You will find the application form at the bottom of the application page of each residence permit.
11,https://migri.fi/en/first-residence-permit,"If you are not sure which application form you should use, use the Application Finder to find out."
14,https://migri.fi/en/first-residence-permit,"If you already have a residence permit and wish to continue your stay in Finland after it expires, apply for an extended permit."
16,https://migri.fi/en/first-residence-permit,This is what you should do
17,https://migri.fi/en/first-residence-permit,Make sure you meet the requirements for the residence permit you are applying for.
18,https://migri.fi/en/first-residence-permit,Make sure you have all the attachments needed.
19,https://migri.fi/en/first-residence-permit,"If necessary, have them translated and legalised."
20,https://migri.fi/en/first-residence-permit,The processing time may be longer if you have not filled in your application sufficiently.
21,https://migri.fi/en/first-residence-permit,Fill in your application in the online service Enter Finland or use a paper application form.
22,https://migri.fi/en/first-residence-permit,"Pay for your application in the online service Enter Finland, at a Finnish mission (embassy or consulate) or at a service point of the Finnish Immigration Service."
23,https://migri.fi/en/first-residence-permit,"If you are abroad, visit a Finnish mission (embassy or consulate)."
24,https://migri.fi/en/first-residence-permit,"If you are already in Finland, book an appointment at a service point of the Finnish Immigration Service."
26,https://migri.fi/en/first-residence-permit,The Finnish Immigration Service will contact you if necessary.
27,https://migri.fi/en/first-residence-permit,Read what happens after you have applied.
28,https://migri.fi/en/first-residence-permit,Check the estimated processing time of your application.
29,https://migri.fi/en/first-residence-permit,You can follow the processing of your application with the help of our chatbot Kamu.
30,https://migri.fi/en/first-residence-permit,"In addition, you will usually receive automated messages at the different processing stages of your application."
31,https://migri.fi/en/first-residence-permit,You should wait for the residence permit in the same country or locality where you submitted your application and proved your identity.
32,https://migri.fi/en/first-residence-permit,General requirements for entry into Finland
